Essay,Method,Major Claims,Claims,Premises,Relations
essay022,Canary,0,0,6,0
essay022,Manual,1,3,7,7
essay036,Canary,0,1,2,1
essay036,Manual,2,4,7,7
essay220,Canary,0,0,3,0
essay220,Manual,2,4,14,14
essay234,Canary,0,0,9,1
essay234,Manual,2,4,13,13
essay208,Canary,0,0,2,0
essay208,Manual,2,4,8,8
essay397,Canary,0,1,2,0
essay397,Manual,2,3,6,6
essay383,Canary,0,0,2,0
essay383,Manual,1,4,3,3
essay354,Canary,0,0,6,1
essay354,Manual,2,3,8,8
essay340,Canary,0,0,3,0
essay340,Manual,2,3,7,7
essay368,Canary,0,0,3,0
essay368,Manual,2,2,5,5
essay195,Canary,0,0,6,0
essay195,Manual,2,5,10,10
essay181,Canary,0,0,1,0
essay181,Manual,3,4,13,13
essay156,Canary,0,0,5,0
essay156,Manual,2,3,12,12
essay142,Canary,0,1,6,1
essay142,Manual,2,5,10,10
essay143,Canary,0,0,4,0
essay143,Manual,2,4,13,13
essay157,Canary,0,0,6,0
essay157,Manual,2,2,9,9
essay180,Canary,0,0,8,0
essay180,Manual,2,4,15,15
essay194,Canary,1,0,2,0
essay194,Manual,2,4,7,7
essay369,Canary,0,0,2,0
essay369,Manual,1,3,9,9
essay341,Canary,0,1,3,0
essay341,Manual,2,3,10,10
essay355,Canary,0,0,2,0
essay355,Manual,2,2,9,9
essay382,Canary,0,0,2,0
essay382,Manual,2,3,5,5
essay396,Canary,0,0,2,0
essay396,Manual,2,2,5,5
essay209,Canary,0,0,2,0
essay209,Manual,2,3,5,5
essay235,Canary,0,0,5,0
essay235,Manual,2,3,7,7
essay221,Canary,1,0,5,0
essay221,Manual,2,7,13,13
essay037,Canary,0,0,4,0
essay037,Manual,2,3,16,16
essay023,Canary,0,0,4,0
essay023,Manual,2,5,7,7
essay035,Canary,0,0,9,0
essay035,Manual,2,2,11,11
essay021,Canary,0,0,3,0
essay021,Manual,2,4,12,12
